iter	MAE	RMSE
430	0.4094452598	0.535671273
431	0.4093032305	0.5355726488
432	0.4089408917	0.5350984358
433	0.4083804148	0.5339521715
434	0.408253851	0.5337055509
435	0.4072145836	0.532684567
436	0.4069331731	0.5324634887
437	0.4063355022	0.5316966106
438	0.406244278	0.5315979516
439	0.4057001495	0.5306988246
440	0.4053198522	0.5299804877
441	0.405035959	0.5296334074
442	0.4046926224	0.5292001548
443	0.4044346467	0.5288288503
444	0.4039937379	0.5282588089
445	0.403765847	0.5279452117
446	0.4031560354	0.5269411536
447	0.4030932358	0.5268845792
448	0.4028809414	0.5265153148
449	0.4023107504	0.5259715943
450	0.4017064318	0.524758521
451	0.4014262746	0.5243946035
452	0.4013392558	0.524313285
453	0.4008850373	0.5232408447
454	0.400566822	0.5229177048
455	0.3999527384	0.5218090059
456	0.3994435134	0.5212580015
457	0.3990298397	0.5205688922
458	0.3989814724	0.5205153499
459	0.398904047	0.5204442907
460	0.3981660683	0.5194033113
461	0.3979558249	0.5191798389
462	0.3977541744	0.5188322882
463	0.3976604462	0.5187390722
464	0.3970438984	0.5177988139
465	0.3967705528	0.5174170003
466	0.3963953284	0.5170750725
467	0.3959128356	0.5165693855
468	0.3956517468	0.5160524265
469	0.3949888015	0.5150145313
470	0.3947657477	0.5147274728
471	0.3942955322	0.5140362724
472	0.3938553022	0.5134227555
473	0.3932341229	0.5123501542
474	0.39269171	0.5116666294
475	0.3924067754	0.5111396655
476	0.391899309	0.5101514882
477	0.3912415929	0.5092291004
478	0.3910126732	0.508975228
479	0.3902387031	0.50799301
480	0.3897597834	0.5072202894
481	0.3896467936	0.5070105575
482	0.3896094726	0.5069609022
483	0.3892344345	0.5065683861
484	0.3889203576	0.5059728411
485	0.3884921954	0.5053427364
486	0.3880732765	0.5046107226
487	0.387729945	0.5044156666
488	0.3870937123	0.5034205106
489	0.3868515951	0.5028076631
490	0.3866173352	0.5025646754
491	0.3862868853	0.5021227276
492	0.38567914	0.5013106123
493	0.3852031975	0.5002205487
494	0.3846641555	0.4993618423
495	0.3840715208	0.4985777724
496	0.3838065924	0.4982482233
497	0.3832105257	0.497257484
498	0.3827198848	0.4965036239
499	0.3825232852	0.4961841835
500	0.3820566723	0.4954114707
501	0.3817540174	0.4950073477
502	0.3816428673	0.4947538559
503	0.3815787572	0.494703555
504	0.3811928042	0.4940090827
505	0.3810836776	0.4936127814
506	0.3807870596	0.4932221697
507	0.3800892084	0.4923565775
508	0.3797603451	0.4921738127
509	0.379470247	0.4914519814
510	0.3791359545	0.4906661687
511	0.3785957459	0.4901689257
512	0.378171419	0.4895875529
513	0.3776011442	0.4887647302
514	0.3773802746	0.4883977045
515	0.3769590146	0.4877753052
516	0.3768966982	0.487732039
517	0.3762929386	0.4870370379
518	0.3762421101	0.4870021914
519	0.3759434277	0.4866772251
520	0.3757479335	0.4865026122
521	0.3754106679	0.4859410918
522	0.3748997199	0.4850004659
523	0.3745451392	0.4845766081
524	0.3743752275	0.4842279872
525	0.3741388391	0.4839402904
